series,location,keywords,numpages,articleno,booktitle,abstract,doi,url,address,publisher,isbn,year,title,author,ENTRYTYPE,ID,month,journal,issn,number,volume,issue_date,pages,note
TAS '24,"Austin, TX, USA","Cognitive elaboration, Generative AI, Perceived trust calibration, Prompt coaching, User Engagement, User Experience, User Interface",12,9,Proceedings of the Second International Symposium on Trustworthy Autonomous Systems,"Prompts are the primary medium for interacting with generative AI tools. However, users often lack sufficient prompt literacy and motivation to fully benefit from these tools. To address this, we explore whether introducing prompt coaching into a chatbot-based generative AI interface can influence users’ perceptions and engagement of prompting, and further affect their trust in the system. In a user study (N = 132), we found that prompt coaching encourages users to specify more details in their prompts, even though over half initially believed their prompts were sufficient. Furthermore, the coach increased users’ cognitive elaboration, which was associated with higher perceived trust calibration. However, prompt coaching did not significantly enhance UX, although users in the coaching absent condition expressed a strong need for prompt assistance for better user experience. These findings have practical implications for the design of&nbsp;trustworthy and responsible generative AI interfaces.",10.1145/3686038.3686060,https://doi-org.ez24.periodicos.capes.gov.br/10.1145/3686038.3686060,"New York, NY, USA",Association for Computing Machinery,9798400709890,2024,"Is Your Prompt Detailed Enough? Exploring the Effects of Prompt Coaching on Users' Perceptions, Engagement, and Trust in Text-to-Image Generative AI Tools","Chen, Cheng and Lee, Sangwook and Jang, Eunchae and Sundar, S. Shyam",inproceedings,10.1145/3686038.3686060,,,,,,,,
,,,11,,"Proceedings of the 2024 AAAI/ACM Conference on AI, Ethics, and Society","Human feedback plays a critical role in learning and refining reward models for text-to-image generation, but the optimal form the feedback should take for learning an accurate reward function has not been conclusively established. This paper investigates the effectiveness of fine-grained feedback which captures nuanced distinctions in image quality and prompt-alignment, compared to traditional coarsegrained feedback (for example, thumbs up/down or ranking between a set of options). While fine-grained feedback holds promise, particularly for systems catering to diverse societal preferences, we show that demonstrating its superiority to coarse-grained feedback is not automatic. Through experiments on real and synthetic preference data, we surface the complexities of building effective models due to the interplay of model choice, feedback type, and the alignment between human judgment and computational interpretation. We identify key challenges in eliciting and utilizing fine-grained feedback, prompting a reassessment of its assumed benefits and practicality. Our findings - e.g., that fine-grained feedback can lead to worse models for a fixed budget, in some settings; however, in controlled settings with known attributes, fine grained rewards can indeed be more helpful - call for careful consideration of feedback attributes and potentially beckon novel modeling approaches to appropriately unlock the potential value of fine-grained feedback in-the-wild.",,,,AAAI Press,,2025,Beyond Thumbs Up/Down: Untangling Challenges of Fine-Grained Feedback for Text-to-Image Generation,"Collins, Katherine M. and Kim, Najoung and Bitton, Yonatan and Rieser, Verena and Omidshafiei, Shayegan and Hu, Yushi and Chen, Sherol and Dutta, Senjuti and Chang, Minsuk and Lee, Kimin and Liang, Youwei and Evans, Georgina and Singla, Sahil and Li, Gang and Weller, Adrian and He, Junfeng and Ramachandran, Deepak and Dvijotham, Krishnamurthy Dj",inbook,10.5555/3716662.3716688,,,,,,,293–303,
CHI '24,"Honolulu, HI, USA","Architecture, Art, Artificial Intelligence, Generative AI, Image, Urban Design",18,474,Proceedings of the 2024 CHI Conference on Human Factors in Computing Systems,"This paper joins the growing body of HCI work on critical AI studies and focuses on the impact of Generative Artificial Intelligence (GAI) tools in Bangladesh. While the West has started to examine the limitations and risks associated with these tools, their impacts on the Global South have remained understudied. Based on our interviews, focus group discussions (FGD), and social media-based qualitative study, this paper reports how popular text-to-image GAI tools (ex., DALL-E, Midjourney, Stable Diffusion, Firefly) are affecting various image-related local creative fields. We report how these tools limit the creative explorations of marginal artists, struggle to understand linguistic nuances, fail to generate local forms of art and architecture, and misrepresent the diversity among citizens in the image production process. Drawing from a rich body of work on critical image theory, postcolonial computing, and design politics, we explain how our findings are pertinent to HCI’s broader interest in social justice, decolonization, and global development.",10.1145/3613904.3641951,https://doi-org.ez24.periodicos.capes.gov.br/10.1145/3613904.3641951,"New York, NY, USA",Association for Computing Machinery,9798400703300,2024,In-Between Visuals and Visible: The Impacts of Text-to-Image Generative AI Tools on Digital Image-making Practices in the Global South,"Mim, Nusrat Jahan and Nandi, Dipannita and Khan, Sadaf Sumyia and Dey, Arundhuti and Ahmed, Syed Ishtiaque",inproceedings,10.1145/3613904.3641951,,,,,,,,
HotMobile '26,,"Remote Sensing, Satellite Imagery, Generative AI",6,,Proceedings of the 27th International Workshop on Mobile Computing Systems and Applications,"Satellite imagery is indispensable for remote sensing and environmental monitoring. However, despite the presence of over a thousand Earth-observation satellites, achieving frequent and consistent global monitoring remains challenging due to the heterogeneity across satellite constellations. This work explores the potential of generative AI as a foundation for unifying such heterogeneous imagery into a standardized, high-resolution format. We introduce SatExt, a modular generative framework that enables spatio-spectral unification of multi-satellite data to facilitate frequent and consistent Earth monitoring. SatExt strategically decouples the unification process into two stages: spectral extension and spatial super-resolution. It integrates a lightweight attention-based network for spectral extension with a diffusion-based model for high-resolution spatial reconstruction. We evaluate SatExt on representative heterogeneous-satellite dataset and demonstrate promising quantitative and qualitative performance. Through this investigation, we highligh key challenges and exciting opportunities toward making satellite imaging more reliable, consistent, and unified for global Earth observation.",10.1145/3789514.3792050,https://doi-org.ez24.periodicos.capes.gov.br/10.1145/3789514.3792050,"New York, NY, USA",Association for Computing Machinery,9798400724718,2026,SatExt: Generative AI framework for Spatio-Spectral Satellite Unification and Beyond,"Naeem, Nazish and Olsen, Peder and Ranganathan, Vaishnavi",inproceedings,10.1145/3789514.3792050,,,,,,,67–72,
CHI '25,,"Creativity support tools, design ideation, idea management, human-AI interaction, text-to-image models",26,425,Proceedings of the 2025 CHI Conference on Human Factors in Computing Systems,"Generative AI has enabled novice designers to quickly create professional-looking visual representations for product concepts. However, novices have limited domain knowledge that could constrain their ability to write prompts that effectively explore a product design space. To understand how experts explore and communicate about design spaces, we conducted a formative study with 12 experienced product designers and found that experts — and their less-versed clients — often use visual references to guide co-design discussions rather than written descriptions. These insights inspired DesignWeaver, an interface that helps novices generate prompts for a text-to-image model by surfacing key product design dimensions from generated images into a palette for quick selection. In a study with 52 novices, DesignWeaver enabled participants to craft longer prompts with more domain-specific vocabularies, resulting in more diverse, innovative product designs. However, the nuanced prompts heightened participants’ expectations beyond what current text-to-image models could deliver. We discuss implications for AI-based product design support tools.",10.1145/3706598.3714211,https://doi-org.ez24.periodicos.capes.gov.br/10.1145/3706598.3714211,"New York, NY, USA",Association for Computing Machinery,9798400713941,2025,DesignWeaver: Dimensional Scaffolding for Text-to-Image Product Design,"Tao, Sirui and Liang, Ivan and Peng, Cindy and Wang, Zhiqing and Palani, Srishti and Dow, Steven P.",inproceedings,10.1145/3706598.3714211,,,,,,,,
,,"Software Testing, Cross-modal, Text-to-Image",,,,"Recently, creative generative artificial intelligence software has emerged as a pivotal assistant, enabling users to generate content and seek inspiration rapidly. Text-to-Image (T2I) software, one of the most widely used, synthesizes images with text input by engaging in a cross-modal process. However, despite substantial advancements in the T2I engine, T2I software still encounters errors when generating complex or non-realistic scenes, including omitting focal entities, low image realism, and mismatched text-image information. The cross-modal nature of T2I software complicates error detection for traditional testing methods, and the absence of test oracles further exacerbates the complexity of the testing process. To fill this gap, we propose ACTesting, an Automated Cross-modal Testing Method of Text-to-Image Software, the first testing method explicitly designed for T2I software. ACTesting utilizes the metamorphic testing principle to address the oracle problem and identifies cross-modal semantic consistency as its fundamental Metamorphic relation (MR) by employing the Entity-relationship (ER) triples. We design three kinds of mutation operators under the guidance of MR and the adaptability density constraint to construct the new input text. After generating the images based on the text, ACTesting verifies whether MR is satisfied by detecting the ER triples across two modalities to detect the errors of T2I software. In our experiments across five popular T2I software, ACTesting effectively generates error-revealing tests, resulting in a decrease in text-image consistency by up to 20\% when compared to the baseline. Additionally, an ablation study demonstrates the efficacy of the proposed mutation operators. The experimental results validate that ACTesting can reliably identify errors within T2I software.",10.1145/3768581,https://doi-org.ez24.periodicos.capes.gov.br/10.1145/3768581,"New York, NY, USA",Association for Computing Machinery,,2025,ACTesting: Automated Cross-modal Testing Method of Text-to-Image Software,"Gu, Siqi and Fang, Chunrong and Zhang, Quanjun and Chen, Zhenyu",article,10.1145/3768581,September,ACM Trans. Softw. Eng. Methodol.,1049-331X,,,,,Just Accepted
,,"Storytelling, generative AI, creativity",29,20,,"Storytelling is an integral part of human culture and significantly impacts cognitive and socio-emotional development and connection. Despite the importance of interactive visual storytelling, the process of creating such content requires specialized skills and is labor-intensive. This article introduces ID.8, an open-source system designed for the co-creation of visual stories with generative AI. We focus on enabling an inclusive storytelling experience by simplifying the content creation process and allowing for customization. Our user evaluation confirms a generally positive user experience in domains such as enjoyment and exploration while highlighting areas for improvement, particularly in immersiveness, alignment, and partnership between the user and the AI system. Overall, our findings indicate promising possibilities for empowering people to create visual stories with generative AI. This work contributes a novel content authoring system, ID.8, and insights into the challenges and potential of using generative AI for multimedia content creation.",10.1145/3672277,https://doi-org.ez24.periodicos.capes.gov.br/10.1145/3672277,"New York, NY, USA",Association for Computing Machinery,,2024,ID.8: Co-Creating Visual Stories with Generative AI,"Antony, Victor Nikhil and Huang, Chien-Ming",article,10.1145/3672277,August,ACM Trans. Interact. Intell. Syst.,2160-6455,3,14,September 2024,,
CHIGreece '25,,"Generative AI, Gen AI, AI, Artificial Intelligence, User Interface, User Interaction, User Experience, UI, UX",9,,Proceedings of the 3rd International Conference of the ACM Greek SIGCHI Chapter,"As artificial intelligence becomes an everyday presence across education, arts and creative technologies, and cultural heritage, the interaction between users and intelligent systems deserves critical examination. This submission presents a systematic review of 95 case studies, 64 in education, 14 in arts, and 17 in heritage — selected via a PRISMA-guided search and expert screening — to map how generative artificial intelligence is embedded at both the interface and interaction levels. We identify nine interface archetypes (e.g., conversational, adaptive dashboards, immersive environments interfaces), eight interaction patterns (e.g., conversing, collaborating, manipulating),and eight main user experience dimensions as observed in case studies. Our analysis further categorizes six modality-usage patterns—from text, image, audio, and video up to fully multi-modal workflows and distillsfour main categories of end-to-end application pipelines. Notably, only two studies were found to articulate design-phase guidelines, and limitations cluster around output quality, ethical risks, and a lack of longitudinal evaluations. We conclude with limitations observed and future research focused on explainability, participatory design, and sustained field deployments. This synthesis provides a foundation for researchers and practitioners seeking to harness generative artificial intelligence as a responsive, human-centered collaborator.",10.1145/3749012.3749052,https://doi-org.ez24.periodicos.capes.gov.br/10.1145/3749012.3749052,"New York, NY, USA",Association for Computing Machinery,9798400715617,2025,Generative AI: A Systematic Review of Related Interfaces and Interactions,"Ordoumpozanis, Kostas and Konstantakis, Markos and Zoi, Stavroula and Caridakis, George",inproceedings,10.1145/3749012.3749052,,,,,,,39–47,
GI '24,"Halifax, NS, Canada","fashion, generative AI, image generation, prompt engineering",8,13,Proceedings of the 50th Graphics Interface Conference,"In this paper, we explore the impact of task-specific prompt assistants for text-to-image generative AI tools through a user study. Participants were asked to recreate a dress with SDXL using either a prompt assistant tailored to the dress design, or, no assistant at all. A detailed analysis of the results and feedback suggests that for this specific task, a tailored assistant improves result satisfaction and accuracy. This style of assistant helps users focus on the task by providing a detailed, visual and organized approach to describing the object—enabling faster production times and more accurate descriptions with less ambiguity.",10.1145/3670947.3670972,https://doi-org.ez24.periodicos.capes.gov.br/10.1145/3670947.3670972,"New York, NY, USA",Association for Computing Machinery,9798400718281,2024,"""Imagine a Dress"": Exploring the case of task-specific prompt assistants for text-to-image AI tools","Chen, Helen Weixu and Istead, Lesley",inproceedings,10.1145/3670947.3670972,,,,,,,,
DIS '24,"Copenhagen, Denmark","image-generation AI models, interaction design, museums and cultural heritage",14,,Proceedings of the 2024 ACM Designing Interactive Systems Conference,"Image-generation AI models have triggered a paradigm shift in how we can express ourselves in visual art. Despite their widespread use in a short amount of time, embedding these models into interactive artifacts is still largely unexplored. In this pictorial, we unpack the design and development process of GenFrame, an image generating picture frame that utilizes generative AI capabilities to mimic traditional paintings. Our work details the necessary steps to integrate generative AI into interactive artifacts and highlights important design considerations for controlling image-generation models in order to achieve specific design intents. Our insights provide interaction designers with a more comprehensive understanding and approach towards utilizing image-generation AI models for interactive artifacts. A demo can be viewed at https://youtu.be/1rhW4fazaBY",10.1145/3643834.3660750,https://doi-org.ez24.periodicos.capes.gov.br/10.1145/3643834.3660750,"New York, NY, USA",Association for Computing Machinery,9798400705830,2024,GenFrame – Embedding Generative AI Into Interactive Artifacts,"Kun, Peter and Freiberger, Matthias Anton and L\o{}vlie, Anders Sundnes and Risi, Sebastian",inproceedings,10.1145/3643834.3660750,,,,,,,714–727,
CHI '25,,"generative artificial intelligence, image generation, character design, character concept art, AI-assisted creativity",20,189,Proceedings of the 2025 CHI Conference on Human Factors in Computing Systems,"Great characters are critical to the success of many forms of media, such as comics, games, and films. Designing visually compelling casts of characters requires significant skill and consideration, and there is a lack of specialized tools to support this endeavor. We investigate how AI-driven image-generation techniques can empower creatives to explore a variety of visual design possibilities for individual and groups of characters. Informed by interviews with character designers, Paratrouper is a multi-modal system that enables creating and experimenting with multiple permutations for character casts and visualizing them in various contexts as part of a holistic approach to design. We demonstrate how Paratrouper supports different aspects of the character design process, and share insights from its use by eight creators. Our work highlights the interplay between creative agency and serendipity, as well as the visual interrelationships among character aesthetics.",10.1145/3706598.3714242,https://doi-org.ez24.periodicos.capes.gov.br/10.1145/3706598.3714242,"New York, NY, USA",Association for Computing Machinery,9798400713941,2025,Paratrouper: Exploratory Creation of Character Cast Visuals Using Generative AI,"Leong, Joanne and Ledo, David and Driscoll, Thomas and Grossman, Tovi and Fitzmaurice, George and Anderson, Fraser",inproceedings,10.1145/3706598.3714242,,,,,,,,
IUI '25,,"Generative AI, image generation, interaction methods",15,,Proceedings of the 30th International Conference on Intelligent User Interfaces,"Recent technological advances popularized the use of image generation among the general public. Crafting effective prompts can, however, be difficult for novice users. To tackle this challenge, we developed PromptMap, a new interaction style for text-to-image AI that allows users to freely explore a vast collection of synthetic prompts through a map-like view with semantic zoom. PromptMap groups images visually by their semantic similarity, allowing users to discover relevant examples. We evaluated PromptMap in a between-subject online study (n = 60) and a qualitative within-subject study (n = 12). We found that PromptMap supported users in crafting prompts by providing them with examples. We also demonstrated the feasibility of using LLMs to create vast example collections. Our work contributes a new interaction style that supports users unfamiliar with prompting in achieving a satisfactory image output.",10.1145/3708359.3712150,https://doi-org.ez24.periodicos.capes.gov.br/10.1145/3708359.3712150,"New York, NY, USA",Association for Computing Machinery,9798400713064,2025,PromptMap: An Alternative Interaction Style for AI-Based Image Generation,"Adamkiewicz, Krzysztof and Wo\'{z}niak, Pawe\l{} W. and Dominiak, Julia and Romanowski, Andrzej and Karolus, Jakob and Frolov, Stanislav",inproceedings,10.1145/3708359.3712150,,,,,,,1162–1176,
ISAIE '25,,"Course Design, Engineering Education, Generative AI, Personalized Learning, Teaching Model Innovation",5,,Proceedings of the 2025 2nd International Symposium on Artificial Intelligence for Education,"The rapid advancement of generative AI technology in higher engineering education has presented unparalleled prospects and challenges for developing exceptional future-oriented engineers. This paper introduces a delineation of a new generative AI-enabled engineering curriculum framework (GAE-ECF) that differentiates similar innovation based on existing CDIO (ideate-design-implement-operate) and OBE (outcomes-based education) frameworks. The GAE-ECF framework presents a multi-organizational level generative collaborative teaching mechanism, which merges different scaffolding for AI content generation, specific learning path modeling for students using a transformer, and a teaching swarm feedback system based on dual-agent reinforcement learning. GAE-ECF is supported with the KCA-am (knowledge-capacity-attitude-alignment) three-layer alignment module, prompt engineering task engine, and generative reflection analyzer - headed to genuinely enhance students' design thinking and metacognition capabilities in genuine engineering contexts, and achieve integrated collaborative optimization of teaching - learning - evaluation. GAE-ECF significantly surpassed traditional teaching frameworks in student engagement, project completeness, and personalized learning effectiveness.",10.1145/3775073.3775095,https://doi-org.ez24.periodicos.capes.gov.br/10.1145/3775073.3775095,"New York, NY, USA",Association for Computing Machinery,9798400715792,2025,Course Design and Teaching Model Innovation for Excellent Engineers Driven by Generative AI,"Li, Yuansheng and Liang, Jingwen and Zhao, Yangguiyi",inproceedings,10.1145/3775073.3775095,,,,,,,127–131,
